"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - rep_loss","Group: general-distillation - rep_loss__MIN","Group: general-distillation - rep_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - rep_loss","Group: general-distillation-attn - rep_loss__MIN","Group: general-distillation-attn - rep_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - rep_loss","Group: general-distillation-rep - rep_loss__MIN","Group: general-distillation-rep - rep_loss__MAX"
"111","891.5","884","899","59.28198647637496","59.24703270072368","59.31954561471939","891.5","884","899","91.64245602999593","91.64099996089935","91.64394321038283","891.5","884","899","59.193670163733536","59.15883549932224","59.23112064599991"
"113","907.5","900","915","59.131878901467296","59.09700076651508","59.16930504278703","907.5","900","915","91.64563474407254","91.64399695396423","91.64651982428619","907.5","900","915","59.04410199975497","59.00936431261109","59.08137280290777"
"115","923.5","916","931","58.985883687279504","58.95287147082183","59.02065912882487","923.5","916","931","91.64763897328858","91.64627647895317","91.64860873100085","923.5","916","931","58.89877211494219","58.86594819186027","58.933350682258606"
"117","939.5","932","947","58.84504282034239","58.814445415948214","58.87821432260367","939.5","932","947","91.65086168701662","91.65013584723839","91.6516173484766","939.5","932","947","58.758775861242064","58.72839724547349","58.79172063790835"
"119","955.5","948","963","58.709139792690785","58.67859749351155","58.739179245063234","955.5","948","963","91.6540304329109","91.65285475321585","91.65498691134982","955.5","948","963","58.623793725882116","58.59345032792884","58.65364156450544"
"121","971.5","964","979","58.574900361109364","58.54359413686425","58.60844906171163","971.5","964","979","91.65496364157492","91.65351541606222","91.6558440293723","971.5","964","979","58.4904836709602","58.45941770149","58.523775577545166"
"123","987.5","980","995","58.450364545317896","58.42248283979789","58.47996211051941","987.5","980","995","91.6549696819661","91.65450850129128","91.65552565023101","987.5","980","995","58.36699795471345","58.339348925132676","58.39633348584175"
"125","1003.5","996","1011","58.3330743438613","58.30262732463147","58.3632601850173","1003.5","996","1011","91.65419419330186","91.65313612713533","91.65551160017365","1003.5","996","1011","58.25084038790136","58.22065908878989","58.280735064955316"
"127","1019.5","1012","1027","58.21263974493954","58.18619237857825","58.24147915840149","1019.5","1012","1027","91.6565313481675","91.655861640059","91.6572128554522","1019.5","1012","1027","58.131602753887584","58.105417138630564","58.16015406449636"
"129","1035.5","1028","1043","58.09464019496893","58.06818799528609","58.12060810390272","1035.5","1028","1043","91.65843164883864","91.65806173268669","91.65886976370474","1035.5","1028","1043","58.01482458202866","57.98863304713756","58.0405229769255"
"131","1051.5","1044","1059","57.983513508181694","57.95794046998934","58.01089692115784","1051.5","1044","1059","91.65869053766018","91.65777708292008","91.65914600565686","1051.5","1044","1059","57.90493596377202","57.87967245087369","57.93198647499084"
"133","1067.5","1060","1075","57.877352992812206","57.853571984792204","57.89934945106506","1067.5","1060","1075","91.65905971612713","91.6586448144424","91.65977334268723","1067.5","1060","1075","57.8001078418075","57.77662457684068","57.82179474262964"
"135","1083.5","1076","1091","57.77199761715194","57.7471711977135","57.796432094140485","1083.5","1076","1091","91.65980279913583","91.6591909815756","91.66039525115839","1083.5","1076","1091","57.6960523583963","57.67154395961629","57.720175022428684"
"137","1099.5","1092","1107","57.66377241072023","57.64147051164853","57.68793120591537","1099.5","1092","1107","91.66323897687909","91.66256876613782","91.66367444404008","1099.5","1092","1107","57.589219139802516","57.56722799471311","57.613053114517875"
"139","1115.5","1108","1123","57.56256013171121","57.53945351864947","57.586862886945404","1115.5","1108","1123","91.66413941403776","91.66372379660606","91.66454245290448","1115.5","1108","1123","57.489407084429686","57.46663458715758","57.51338173945745"
"141","1131.5","1124","1139","57.46338648374311","57.441373869539035","57.484881100654604","1131.5","1124","1139","91.66453337385545","91.6642154547789","91.66498862848746","1131.5","1124","1139","57.391664971664134","57.37001488808474","57.412821621894835"
"143","1147.5","1140","1155","57.36508358232173","57.34297827368222","57.38885335738842","1147.5","1140","1155","91.66624108875249","91.66550833445329","91.66661791016207","1147.5","1140","1155","57.294872099122784","57.27311150326779","57.3182765016189"
"145","1163.5","1156","1171","57.26779291931415","57.24529674734001","57.28965458605025","1163.5","1156","1171","91.66809553721694","91.66761805275068","91.66858049898289","1163.5","1156","1171","57.19908825147109","57.17695132918461","57.220616141955055"
"147","1179.5","1172","1187","57.17291034303106","57.15079986957504","57.19482784611838","1179.5","1172","1187","91.66998687618862","91.66954444135938","91.67058761713926","1179.5","1172","1187","57.10564434883711","57.08388830827698","57.12721363561494"
"149","1195.5","1188","1203","57.081403985297","57.05993128480234","57.104014861172644","1195.5","1188","1203","91.67112200775719","91.67032587117163","91.67155455727863","1195.5","1188","1203","57.01565265906202","56.99450805761149","57.037901664602344"
"151","1211.5","1204","1219","56.99095326587645","56.96915862645859","57.0123856027921","1211.5","1204","1219","91.672066397687","91.67176185448965","91.67250037560096","1211.5","1204","1219","56.92661937758412","56.90515174278846","56.947726670900984"
