"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - loss","Group: general-distillation - loss__MIN","Group: general-distillation - loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - loss","Group: general-distillation-attn - loss__MIN","Group: general-distillation-attn - loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - loss","Group: general-distillation-rep - loss__MIN","Group: general-distillation-rep - loss__MAX"
"87","695.5","688","703","5.1985587897821555","5.193056291947571","5.204135626554489","695.5","688","703","0.34978299880098157","0.34955122633741187","0.3500615460155853","695.5","688","703","4.843059580716379","4.837758578725461","4.848388345419676"
"89","711.5","704","719","5.175244717818116","5.169835685109661","5.180675733290362","711.5","704","719","0.3487370013394693","0.3484894863696791","0.3489855286047867","711.5","704","719","4.8206609509521225","4.8154679834221366","4.825874384701922"
"91","729.5","720","739","4.383274565393016","4.110442638397217","5.157695383160979","729.5","720","739","0.31656634155655006","0.30272092421849567","0.3479171010900985","729.5","720","739","4.056217028521648","3.7892935276031494","4.803829310850783"
"93","747.5","740","755","4.119753480573853","4.118796839433558","4.121582701802254","747.5","740","755","0.30587539498625593","0.30462539196014404","0.30675432284673054","747.5","740","755","3.801666246973928","3.8008763993040042","3.8046033680438995"
"95","763.5","756","771","4.1059395609049245","4.102423963667471","4.109153062105179","763.5","756","771","0.3041911683525739","0.30385147015253705","0.3047460238723194","763.5","756","771","3.7892443543784706","3.7859170617936533","3.792715545743704"
"97","779.5","772","787","4.091367197915667","4.088587067148707","4.0940147787332535","779.5","772","787","0.3027594785049996","0.30231353669212413","0.3034111285209656","779.5","772","787","3.775807762996657","3.773257590628959","3.778226022919019"
"99","795.5","788","803","4.079237400344625","4.076053169223812","4.082710459828377","795.5","788","803","0.3020958385523751","0.3018909857115325","0.30236412088076275","795.5","788","803","3.7640401260660807","3.7608679474650564","3.767412442713976"
"101","811.5","804","819","4.066036905651648","4.063632069996425","4.0694500207901","811.5","804","819","0.30145337816926515","0.3010877736182098","0.3018905635923147","811.5","804","819","3.751201068339804","3.7485763563428605","3.754228840768337"
"103","827.5","820","835","4.056046962374655","4.053049586245403","4.058897191037734","827.5","820","835","0.3017910494630165","0.3013598067731392","0.30210114414898714","827.5","820","835","3.740619093495338","3.7378536341846855","3.7433563160399594"
"105","843.5","836","851","4.044667334552664","4.042230298828381","4.046867016170706","843.5","836","851","0.30097496506184","0.3008319318928617","0.3011050729105651","843.5","836","851","3.7298561046083796","3.727349736201713","3.7321821695991924"
"107","859.5","852","867","4.033574862036829","4.031427823309529","4.035779751837254","859.5","852","867","0.3004660030823241","0.30037864422287924","0.3005444847269734","859.5","852","867","3.7190845966932713","3.7168686169979757","3.721376101486385"
"109","875.5","868","883","4.022948939927509","4.020617125451368","4.0255398410889836","875.5","868","883","0.2998531960242965","0.29952440142828246","0.3001465491666926","875.5","868","883","3.7088948691140597","3.7068623324038565","3.711262761718697"
"111","891.5","884","899","4.0130751628511065","4.010730901404993","4.015532708168029","891.5","884","899","0.29911357453678816","0.2989111263805361","0.2992691629100591","891.5","884","899","3.699604385233346","3.69742721870764","3.7019450403749943"
"113","907.5","900","915","4.003437059069102","4.0011535145606265","4.0060190551660275","907.5","900","915","0.29866779564911305","0.29848954158891094","0.2989508938467638","907.5","900","915","3.6902563749846857","3.688085269538193","3.6925858001817358"
"115","923.5","916","931","3.993946172528336","3.9917458286859038","3.9963691495358944","923.5","916","931","0.2981130870875003","0.29793238270103484","0.29843514526819254","923.5","916","931","3.681173257183887","3.679121761991267","3.683334417641163"
"117","939.5","932","947","3.9846231349279173","3.9826338291168213","3.9868342108451404","939.5","932","947","0.29739993148864047","0.29727964213856967","0.2975814599328889","939.5","932","947","3.672423491327629","3.670524827842093","3.6744825398692718"
"119","955.5","948","963","3.9759939578361756","3.974167289280737","3.977783691138029","955.5","948","963","0.2970614026606307","0.29697161306937536","0.29714239743493853","955.5","948","963","3.6639871078676323","3.6620906454955526","3.66585259778159"
"121","971.5","964","979","3.967439578458438","3.9653337892859875","3.9697485312819483","971.5","964","979","0.2966906792518437","0.29649336988275704","0.2969462710432708","971.5","964","979","3.6556552294350126","3.653713606343125","3.657735973596573"
"123","987.5","980","995","3.9594288381959304","3.95776806474863","3.9613010259345174","987.5","980","995","0.2962548546384933","0.2962007067189687","0.2963280885014683","987.5","980","995","3.6479373721695905","3.6462093078207922","3.6497708428651094"
"125","1003.5","996","1011","3.9521633115435213","3.9501882832037527","3.9541661660460865","1003.5","996","1011","0.2961001722600033","0.29595393715576807","0.2962785933542689","1003.5","996","1011","3.640677524243835","3.638791193049368","3.6425459415597072"
"127","1019.5","1012","1027","3.944461580566648","3.942845299764333","3.946313868794176","1019.5","1012","1027","0.2957146638404447","0.29565857885739744","0.2958157290963249","1019.5","1012","1027","3.633225172117974","3.6315885711644103","3.6350096290310225"
"129","1035.5","1028","1043","3.9368428947597907","3.935270334323375","3.9383669283829237","1035.5","1028","1043","0.29525537107850935","0.29521276255285267","0.29528588836869835","1035.5","1028","1043","3.625926536376791","3.6242895654460976","3.627532686057844"
"131","1051.5","1044","1059","3.9298252572484755","3.9282184892028345","3.931661847606301","1051.5","1044","1059","0.29496358496212055","0.2948792882343529","0.2951348468894139","1051.5","1044","1059","3.619058497735751","3.6174795281796057","3.6207491546869277"
"133","1067.5","1060","1075","3.9230999778484867","3.921698277000083","3.924416491673106","1067.5","1060","1075","0.29465624237712695","0.29462332546003495","0.29468375253538553","1067.5","1060","1075","3.612506740112969","3.6110390360525426","3.6138621714143526"
"135","1083.5","1076","1091","3.9166322906266156","3.9150339694944973","3.9181561598723587","1083.5","1076","1091","0.29453581530685324","0.2944265458124951","0.2945921171218791","1083.5","1076","1091","3.606003272399769","3.604471497476018","3.6075109389017928"
"137","1099.5","1092","1107","3.90975661542996","3.9084085259393118","3.9112680936637134","1099.5","1092","1107","0.29419628564855543","0.2941660763191474","0.2942618716765938","1099.5","1092","1107","3.5993261962376573","3.597951749669569","3.600815819657367"
"139","1115.5","1108","1123","3.9032881828776262","3.9017855764805587","3.90486446612825","1115.5","1108","1123","0.29382991692491056","0.29370962140578466","0.2939387800870463","1115.5","1108","1123","3.5930879427768554","3.5916646616973487","3.5945863587160907"
"141","1131.5","1124","1139","3.8968650996247542","3.8954244610722077","3.898217248916626","1131.5","1124","1139","0.29338442900848666","0.29326256388381894","0.2934777945168872","1131.5","1124","1139","3.5869790607290084","3.585625930505296","3.588301351368427"
"143","1147.5","1140","1155","3.8903573951156636","3.8889436741505774","3.8919684053040466","1147.5","1140","1155","0.2928035314572789","0.29271078979856296","0.2929780981145226","1147.5","1140","1155","3.580929506195174","3.579569468954237","3.582392281351181"
"145","1163.5","1156","1171","3.884017848151303","3.8825528363997077","3.8854070104382656","1163.5","1156","1171","0.292320716585199","0.29220950220360825","0.29240699762835515","1163.5","1156","1171","3.574943015716943","3.573559458074038","3.576288508872191"
"147","1179.5","1172","1187","3.8778320908552644","3.8763277706016432","3.879322954586574","1179.5","1172","1187","0.291840476626363","0.2916702500060937","0.29201061840701314","1179.5","1172","1187","3.5691027718023194","3.5677430192673114","3.570450852225934"
"149","1195.5","1188","1203","3.871845783955891","3.8704889058308285","3.8733617928007553","1195.5","1188","1203","0.2913589058641763","0.2912759937059421","0.2915126849126456","1195.5","1188","1203","3.5634782911913763","3.562156753600718","3.5648688540376465"
"151","1211.5","1204","1219","3.866074751926838","3.8646948809501454","3.867432197680076","1211.5","1204","1219","0.2910110615042589","0.29093829156496587","0.29108397201634945","1211.5","1204","1219","3.5579137110990073","3.556571983924279","3.5592329169313115"
"153","1227.5","1220","1235","3.860352513919333","3.8589575636351356","3.8617067310598587","1227.5","1220","1235","0.29059814792641847","0.29046963525209074","0.2907259153772987","1227.5","1220","1235","3.5524764625249943","3.551181736863713","3.5537290166943305"
"155","1243.5","1236","1251","3.8545205665286555","3.8532954568009288","3.8557127197273076","1243.5","1236","1251","0.290089497024687","0.2900079744755935","0.29014201659596767","1243.5","1236","1251","3.5470279416117427","3.5458536249037773","3.5482039279304445"
"157","1259.5","1252","1267","3.849357709412925","3.8480506504283234","3.8505932587114247","1259.5","1252","1267","0.2898074629267799","0.28968708910027136","0.2898795606256546","1259.5","1252","1267","3.542004671170313","3.540787530991655","3.5432067226731414"
"159","1275.5","1268","1283","3.8437915453215714","3.8425904930664645","3.845060106366873","1275.5","1268","1283","0.28940984066880576","0.2893368811063732","0.28950643584583746","1275.5","1268","1283","3.5367025013377695","3.535544445594656","3.5379074156722603"
"161","1291.5","1284","1299","3.8385144626695205","3.8373574502667664","3.8397614419460298","1291.5","1284","1299","0.28906452894965196","0.28898717853629474","0.28915391342182245","1291.5","1284","1299","3.5316404132321537","3.530521256282991","3.5328277858240265"
"163","1307.5","1300","1315","3.833158612530194","3.8318291360124523","3.834460565406415","1307.5","1300","1315","0.28864761288869184","0.28850207580596643","0.2887754789294882","1307.5","1300","1315","3.5265722444539036","3.5253629347352566","3.5277727695388927"
"165","1323.5","1316","1331","3.8276266402339725","3.8264871641831957","3.8288274721519366","1323.5","1316","1331","0.288068502388958","0.28800300622453684","0.2881479334916819","1323.5","1316","1331","3.5215052365393116","3.5203975010554527","3.522658992860768"
"167","1339.5","1332","1347","3.822506963606109","3.821275787950046","3.8237448317047797","1339.5","1332","1347","0.28767222873729104","0.28756783063773894","0.28778222676268533","1339.5","1332","1347","3.516651726904061","3.51549515232238","3.5178072742725672"
"169","1355.5","1348","1363","3.8173939743088585","3.8161286782954105","3.8185853386918702","1355.5","1348","1363","0.2872662378647261","0.28714504776639027","0.28735829044419986","1355.5","1348","1363","3.5118153719921126","3.510643875985889","3.5129457410329428"
"171","1371.5","1364","1379","3.8123557601461746","3.8112560732484324","3.8135343393310905","1371.5","1364","1379","0.28685508744346777","0.2867616621613318","0.28695441992022097","1371.5","1364","1379","3.507061494352115","3.50602508732711","3.5081698287278416"
"173","1387.5","1380","1395","3.807474098203041","3.806229236885939","3.808705842894752","1387.5","1380","1395","0.2864564330782449","0.28634006630547887","0.2865862211825826","1387.5","1380","1395","3.5024540083255156","3.501297959907664","3.503580993631991"
"175","1403.5","1396","1411","3.8026670243029965","3.801635026405452","3.803705560486941","1403.5","1396","1411","0.28607226125487095","0.2859927818913772","0.2861512435844079","1403.5","1396","1411","3.497907898845177","3.496926514518182","3.4988947411378226"
"177","1419.5","1412","1427","3.7979236929262075","3.796729756292896","3.799044028790884","1419.5","1412","1427","0.28566846357562137","0.285526492478263","0.28577744544938555","1419.5","1412","1427","3.493449428845628","3.492375654766321","3.494487394427144"
"179","1435.5","1428","1443","3.793188144420381","3.792191851750613","3.794303253123706","1435.5","1428","1443","0.2852685380197499","0.28522334535274385","0.28536935775032773","1435.5","1428","1443","3.489002883409128","3.4880210125186624","3.490042461421002"
"181","1451.5","1444","1459","3.580207791254264","3.5475682497024534","3.789726695087221","1451.5","1444","1459","0.2632775311838291","0.2547540873289108","0.28502155043598676","1451.5","1444","1459","3.293630822592312","3.269925022125244","3.4856982120209272"
"183","1467.5","1460","1475","3.557340346181675","3.5553359427350633","3.558711201804025","1467.5","1460","1475","0.25952986161508984","0.2581265801563859","0.26022871819938104","1467.5","1460","1475","3.274368901638948","3.2730118163088533","3.275715245920069"
"185","1483.5","1476","1491","3.5569657260630247","3.5554131785435463","3.5596384881417964","1483.5","1476","1491","0.2598838583568225","0.2593781767941233","0.26072354388387897","1483.5","1476","1491","3.2735660091471637","3.2725801859329","3.2752863274344914"
"187","1499.5","1492","1507","3.556503661631908","3.5557230061823777","3.5572018548846245","1499.5","1492","1507","0.26044960305990256","0.26008068895576025","0.26079535285631816","1499.5","1492","1507","3.2724104683056323","3.2719741297197773","3.2731493239601455"
"189","1515.5","1508","1523","3.553027219053377","3.551581452776502","3.5551710166037083","1515.5","1508","1523","0.26063363451754273","0.2601808981156685","0.26106145489029586","1515.5","1508","1523","3.268646112338654","3.26762380133142","3.270325345918536"
"191","1531.5","1524","1539","3.5509425772522203","3.549703322819301","3.5520628602416426","1531.5","1524","1539","0.2609302774750962","0.260786672309041","0.2611033630794322","1531.5","1524","1539","3.2661397458040824","3.2649997792925154","3.26722858697176"
"193","1547.5","1540","1555","3.5460502805035845","3.544788410362688","3.5476251803338528","1547.5","1540","1555","0.2603925830903557","0.26021692431667476","0.2606405824578057","1547.5","1540","1555","3.2618212686177754","3.260755268115442","3.2631198490659394"
"195","1563.5","1556","1571","3.542768997640953","3.542488913178969","3.5431494915739017","1563.5","1556","1571","0.26038567568526644","0.2601338793002561","0.2606077483508377","1563.5","1556","1571","3.2584871003132414","3.2581988069302867","3.258741856680976"
"197","1579.5","1572","1587","3.5392974845623275","3.537842924506576","3.540891859680414","1579.5","1572","1587","0.2601662155969888","0.25985797433941454","0.2604580265469849","1579.5","1572","1587","3.2551726307228774","3.254026914434679","3.2564611667767167"
"199","1595.5","1588","1603","3.5351737797698286","3.533996039097852","3.5362407176031008","1595.5","1588","1603","0.25970729900649353","0.2595483428021998","0.2598488124915295","1595.5","1588","1603","3.251472990184163","3.2504528096013336","3.252395814491643"
"201","1611.5","1604","1619","3.531970785578115","3.5317391286413353","3.5324736200273037","1611.5","1604","1619","0.2596439730642549","0.25954096670334154","0.2598485072602087","1611.5","1604","1619","3.2482568642127783","3.247911628324594","3.248835553973913"
"203","1627.5","1620","1635","3.5274217709864972","3.526148660956027","3.5288285931402985","1627.5","1620","1635","0.25887562922529056","0.2586896619290032","0.25911917943846097","1627.5","1620","1635","3.244508321550476","3.243427496190292","3.2456582960757343"
"205","1643.5","1636","1651","3.524187363803457","3.5238033373950413","3.524847018222014","1643.5","1636","1651","0.2587501015070777","0.25863682040848684","0.25882088566633094","1643.5","1636","1651","3.2413429513090755","3.240881692197986","3.2419961287329593"
"207","1659.5","1652","1667","3.521262519135417","3.520677471935334","3.522078966865173","1659.5","1652","1667","0.25870747899579666","0.25866028762289456","0.258764208298783","1659.5","1652","1667","3.238409322726027","3.2377495588669922","3.239224694096125"
"209","1675.5","1668","1683","3.518599295784902","3.5180130138767978","3.519152429427761","1675.5","1668","1683","0.2588045032286836","0.2587252863230568","0.2588892388187982","1675.5","1668","1683","3.235569604919415","3.234938242008053","3.236203852508749"
"211","1691.5","1684","1699","3.515668571804658","3.514772004310531","3.5163640653093657","1691.5","1684","1699","0.2587867170847479","0.25869237783581317","0.2588356225341863","1691.5","1684","1699","3.2325835002627104","3.2317777619217383","3.2332975854476294"
"213","1707.5","1700","1715","3.511504596800914","3.5106415626446257","3.5125122852623463","1707.5","1700","1715","0.25833772726188947","0.2582394947892144","0.2584353956969393","1707.5","1700","1715","3.228851944584145","3.2280282078476965","3.229768004268408"
"215","1723.5","1716","1731","3.5063096921980663","3.505518473111666","3.5074675950933907","1723.5","1716","1731","0.2575828839233367","0.2575163681066886","0.2577330185483922","1723.5","1716","1731","3.224439255594925","3.2236658388045694","3.225437010912334"
"217","1739.5","1732","1747","3.502817816965748","3.5018359759535684","3.5036141127347946","1739.5","1732","1747","0.2574014308548899","0.2572988984498074","0.25746380147966674","1739.5","1732","1747","3.2210945084464555","3.22021060062544","3.2218961152765484"
"219","1755.5","1748","1763","3.49838694020011","3.497273072385099","3.4996111526301035","1755.5","1748","1763","0.256908161738181","0.25679801263357627","0.2570513672391443","1755.5","1748","1763","3.217148846609756","3.2161428985779397","3.218231777611532"
"221","1771.5","1764","1779","3.4941162024634385","3.493176366354673","3.495102897286415","1771.5","1764","1779","0.25652479951983864","0.25644967122719836","0.25661004427820444","1771.5","1764","1779","3.21324141158752","3.2123468566486855","3.214149396494031"
"223","1787.5","1780","1795","3.4898400327525847","3.4891864764117777","3.490665897372223","1787.5","1780","1795","0.25612224647834686","0.2560748655065807","0.25618670512700364","1787.5","1780","1795","3.209347722884156","3.208679072200992","3.210112257017976"
"225","1803.5","1796","1811","3.4864678255019452","3.4856919953819774","3.487163958901709","1803.5","1796","1811","0.25598236731061597","0.25595413798900163","0.2560206526845736","1803.5","1796","1811","3.2060645061609656","3.2052852079500243","3.206765095618638"
"227","1819.5","1812","1827","3.482156108443309","3.480964325715635","3.4832991484714593","1819.5","1812","1827","0.25563484923267465","0.25550559906164805","0.255734089701234","1819.5","1812","1827","3.202072586263634","3.2009929061412175","3.203117603517097"
"229","1835.5","1828","1843","3.4778112824062837","3.4770234973951317","3.479029629689952","1835.5","1828","1843","0.2552414813541357","0.2551523241787116","0.25540184461171356","1835.5","1828","1843","3.1981040212631195","3.197355390356266","3.1991604237506786"
"231","1851.5","1844","1859","3.4744308745365347","3.473935297808033","3.475099877715111","1851.5","1844","1859","0.255106644331547","0.25506494616839426","0.2551677015767929","1851.5","1844","1859","3.194814307331176","3.1942364833106294","3.195521325469017"
"233","1867.5","1860","1875","3.470623679668585","3.469779130559604","3.471794192894147","1867.5","1860","1875","0.2549008934433083","0.25483615893338407","0.25504837557673454","1867.5","1860","1875","3.1911723113963895","3.1903434514717905","3.192193700717046"
"235","1883.5","1876","1891","3.4664535083598818","3.4653234357041844","3.467393082049158","1883.5","1876","1891","0.2545684748122354","0.2544169991666004","0.25465614417636834","1883.5","1876","1891","3.187312780174547","3.1863385836283364","3.188164991085176"
"237","1899.5","1892","1907","3.4622037782082264","3.461004231031064","3.463365707014288","1899.5","1892","1907","0.25418558510560274","0.2540414430340088","0.25430792595032464","1899.5","1892","1907","3.1834400552114928","3.1823853902052575","3.1844884495117833"
