"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - att_loss","Group: general-distillation - att_loss__MIN","Group: general-distillation - att_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - att_loss","Group: general-distillation-attn - att_loss__MIN","Group: general-distillation-attn - att_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - att_loss","Group: general-distillation-rep - att_loss__MIN","Group: general-distillation-rep - att_loss__MAX"
"173","1387.5","1380","1395","4.831542123200451","4.830446181839898","4.832986650445129","1387.5","1380","1395","4.583302929251919","4.581441060887662","4.585379538921321","1387.5","1380","1395","22.749103050607957","22.7270072088009","22.7746219088821"
"175","1403.5","1396","1411","4.828743014091286","4.828252151663291","4.829238027689003","1403.5","1396","1411","4.577156180077935","4.575884510262036","4.578419897350527","1403.5","1396","1411","22.85215020056495","22.831612249215443","22.872488431670895"
"177","1419.5","1412","1427","4.82555268395216","4.823965313964229","4.826660876873185","1419.5","1412","1427","4.570695417209942","4.568423879652208","4.572439127190169","1419.5","1412","1427","22.93719332777953","22.920735503351967","22.9509706216095"
"179","1435.5","1428","1443","4.822321971780782","4.821960274905661","4.823196108706973","1435.5","1428","1443","4.564296608315998","4.563573525643902","4.565909724005244","1435.5","1428","1443","23.012595164526175","22.99781111018224","23.032298447963477"
"181","1451.5","1444","1459","4.598060859916554","4.461462211608887","4.874018669128418","1451.5","1444","1459","4.212440498941266","4.076065397262573","4.560344806975788","1451.5","1444","1459","25.08259884004741","23.06665980550978","27.11151123046875"
"183","1467.5","1460","1475","4.547034085732721","4.521053448319435","4.559713735813048","1467.5","1460","1475","4.1524777858414375","4.130025282502174","4.163659491190097","1467.5","1460","1475","24.968723322010867","24.833813667297363","25.062477158337103"
"185","1483.5","1476","1491","4.555644441817491","4.546665220118281","4.570798759219013","1483.5","1476","1491","4.15814173370916","4.1500508287059725","4.1715767021420636","1483.5","1476","1491","24.797086509513615","24.76645545470409","24.848351925611496"
"187","1499.5","1492","1507","4.567571357952746","4.56114118406088","4.5738323711213615","1499.5","1492","1507","4.167193648958441","4.161291023292164","4.172725645701091","1499.5","1492","1507","24.67885142800667","24.63792712471702","24.711707714906673"
"189","1515.5","1508","1523","4.573425514166355","4.565850280012403","4.580353498458862","1515.5","1508","1523","4.170138152280684","4.162894369850696","4.176983278244734","1515.5","1508","1523","24.57425267764551","24.49921543497435","24.632155388593674"
"191","1531.5","1524","1539","4.580864230954187","4.577669529616832","4.5840165276499185","1531.5","1524","1539","4.174884439601539","4.172586756944656","4.1776538092709155","1531.5","1524","1539","24.43700864983131","24.404684295654295","24.454329737910516"
"193","1547.5","1540","1555","4.573115926970299","4.570352823988905","4.577145590136449","1547.5","1540","1555","4.166281329445691","4.163470789066796","4.170249319324891","1547.5","1540","1555","24.2546610365048","24.20347521500887","24.30856963992119"
